MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
17:43: 2:237, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2109, 0.1937, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 2:297, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2109, 0.1937, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 2:417, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2109, 0.1937, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 2:537, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1937, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 2:657, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1937, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 2:777, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1937, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 2:897, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3: 17, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:137, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:257, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:377, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1969, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:497, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1969, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:617, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1969, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:737, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1969, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:857, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 3:977, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 4: 97, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2062, 0.1953, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 4:217, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2062, 0.1953, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:43: 4:337, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2062, 0.1953, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
