MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
17:25:37:204, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2109, 0.1937, 50.7361, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:37:264, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2109, 0.1937, 50.7361, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:37:384, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7361, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:37:504, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2109, 0.1953, 50.7361, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:37:624, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7361, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:37:744, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7346, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:37:864, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1969, 50.7346, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:37:984, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7346, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:104, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2109, 0.1953, 50.7346, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:224, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2109, 0.1953, 50.7346, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:344, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7346, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:464, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7346, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:584, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7346, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:704, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7346, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:824, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7346, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:38:944, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7346, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39: 64, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2062, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39:184, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2078, 0.1937, 50.7330, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39:304, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2078, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39:424, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2078, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39:544, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2094, 0.1922, 50.7346, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39:664, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2094, 0.1922, 50.7330, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39:784, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2094, 0.1922, 50.7330, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:39:904, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2094, 0.1922, 50.7330, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40: 24, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 0.2109, 0.1906, 50.7330, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:144, 120, 68, 1, 0, 3, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 82,4000,1000,17,0, 0.2109, 0.0000, 0.0000,165, 100, 100,0, 0, 0, 1, 81.5953, 41.3710, 50.7267, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:264, 120, 68, 1, 0, 3, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 82,4000,1000,17,0, 101.3676, 4.0107, 4.0107,165, 100, 100,0, 0, 0, 1, 101.3676, 101.3676, 50.7267, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:384, 120, 70, 1, 0, 8, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 181,4000,4000,2939,0, 101.3676, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 101.3676, 101.3676, 50.7267, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:504, 120, 70, 1, 0, 8, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 181,4000,4000,2939,0, 87.0325, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 87.0325, 87.0450, 50.7283, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:624, 120, 70, 1, 0, 8, 0, 1, -2.7810,0.0000,100.0000, 0.000, 0.000, 0.000, 88,4000,4000,4006,1193, 49.6049, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 49.6049, 49.8924, 50.7283, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:744, 120, 70, 1, 0, 8, 0, 1, -2.7810,0.0000,100.0000, 0.000, 0.000, 0.000, 88,4000,4000,4006,1193, 15.7132, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 15.7132, 15.8006, 50.7283, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:864, 120, 70, 1, 0, 8, 0, 1, -17.8200,0.0000,100.0000, 0.000, 0.000, 0.000, 16,4000,4000,4001,3600, 8.0714, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 8.0714, 8.0370, 50.7283, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:40:984, 120, 70, 1, 0, 8, 0, 1, -17.8200,0.0000,100.0000, 0.000, 0.000, 0.000, 16,4000,4000,4001,3600, 6.8465, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 6.8465, 6.7934, 50.7299, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:104, 120, 71, 1, 0, 8, 0, 1, -29.2610,0.0000,100.0000, 0.000, 0.000, 0.000, 2,4000,4000,4000,2292, 5.6872, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 5.6872, 5.6184, 50.7299, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:224, 120, 71, 1, 0, 8, 0, 1, -29.2610,0.0000,100.0000, 0.000, 0.000, 0.000, 2,4000,4000,4000,2292, 5.1247, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 5.1247, 5.0278, 50.7314, 50.6892, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:344, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.1850,100.0000, 0.000, 0.000, 0.000, 0,4000,4000,4000,2011, 4.8169, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.8169, 4.6857, 50.7314, 50.6877, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:464, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.1850,100.0000, 0.000, 0.000, 0.000, 0,4000,4000,4000,2011, 4.7075, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.7075, 4.5732, 50.7330, 50.6877, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:584, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,95.9540, 0.000, 0.000, 0.000, 0,4000,4000,3999,1552, 4.5419, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.5419, 4.4091, 50.7314, 50.6861, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:704, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,95.9540, 0.000, 0.000, 0.000, 0,4000,4000,3999,1552, 4.4529, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.4529, 4.3154, 50.7330, 50.6830, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:824, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,80.6710, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.4326, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.4326, 4.2857, 50.7314, 50.6830, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:41:944, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,80.6710, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.3747, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.3747, 4.2419, 50.7346, 50.6799, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:42: 64, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,67.2310, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.3310, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.3310, 4.1935, 50.7346, 50.6799, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:42:184, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,67.2310, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.3107, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.3107, 4.1404, 50.7346, 50.6768, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:42:304, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,51.8710, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.3091, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.3091, 4.1232, 50.7346, 50.6783, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:42:424, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,51.8710, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.3138, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.3138, 4.1060, 50.7377, 50.6768, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:42:544, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,38.4310, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.2888, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.2888, 4.0826, 50.7377, 50.6768, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:42:664, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,38.4310, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.2748, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.2748, 4.1091, 50.7377, 50.6768, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
17:25:42:784, 120, 72, 1, 0, 8, 0, 1, -30.0000,-4.8000,23.0710, 0.000, 0.000, 0.000, 0,4000,4000,4000,3600, 4.2466, 9.0000, 9.0000,165, 100, 100,0, 0, 0, 1, 4.2466, 4.1404, 50.7392, 50.6768, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
