MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
11:46:13:  5, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1906, 50.7361, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13: 65, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1906, 50.7361, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13:185, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1922, 50.7361, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13:305, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1906, 50.7346, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13:425, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1906, 50.7346, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13:545, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1922, 50.7346, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13:665, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2094, 0.1922, 50.7361, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13:785, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1922, 50.7361, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:13:905, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2094, 0.1922, 50.7361, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:14: 25, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1922, 50.7361, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:46:14:145, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2078, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1922, 50.7361, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
