MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
11:35: 3: 18, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,99.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2047, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3: 78, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,99.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2047, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3:198, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3:318, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3:438, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1906, 50.7236, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3:558, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1906, 50.7267, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3:678, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1906, 50.7267, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3:798, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1906, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 3:918, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1891, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:35: 4: 38, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1891, 50.7252, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
