MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
11:24:32:324, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:32:384, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1953, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:32:504, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:32:624, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:32:744, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1937, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:32:864, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1937, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:32:984, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2109, 0.1937, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:104, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2094, 0.1937, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:224, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7314, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:344, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:464, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7314, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:584, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:704, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7330, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:824, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1906, 50.7314, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:33:944, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1891, 50.7314, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34: 64, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2062, 0.1891, 50.7314, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34:184, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1875, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34:304, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1859, 50.7314, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34:424, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1859, 50.7314, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34:544, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1859, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34:664, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1844, 50.7314, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34:784, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1859, 50.7314, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:34:904, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1859, 50.7314, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35: 24, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.2078, 0.1859, 50.7314, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:144, 120, 68, 1, 0, 3, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 4,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 0.3922, 0.5515, 50.7346, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:264, 120, 68, 1, 0, 3, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 4,4000,1000,0,0, 0.2109, 0.0000, 0.0000,155, 100, 100,0, 0, 1, 1, 101.3676, 101.3676, 50.7314, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:384, 120, 70, 1, 0, 8, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 175,4000,4000,2283,0, 101.3676, 4.0107, 4.0107,155, 100, 100,0, 0, 1, 1, 101.3676, 101.3676, 50.7283, 50.7033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:504, 120, 70, 1, 0, 8, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 175,4000,4000,2283,0, 101.3676, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 101.3676, 101.3676, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:624, 120, 70, 1, 0, 8, 0, 1, -1.5210,0.0000,100.0000, 0.000, 0.000, 0.000, 139,4000,4000,4004,1013, 79.5220, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 79.5220, 79.3017, 50.7252, 50.7049, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:744, 120, 70, 1, 0, 8, 0, 1, -1.5210,0.0000,100.0000, 0.000, 0.000, 0.000, 139,4000,4000,4004,1013, 23.0065, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 23.0065, 22.9987, 50.7267, 50.7049, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:864, 120, 70, 1, 0, 8, 0, 1, -14.9410,0.0000,100.0000, 0.000, 0.000, 0.000, 24,4000,4000,4001,4000, 13.9008, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 9.6323, 9.5932, 50.7252, 50.7049, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:35:984, 120, 70, 1, 0, 8, 0, 1, -14.9410,0.0000,100.0000, 0.000, 0.000, 0.000, 24,4000,4000,4001,4000, 7.6214, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 7.6214, 7.5621, 50.7267, 50.7049, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:36:104, 120, 71, 1, 0, 8, 0, 1, -29.2610,0.0000,100.0000, 0.000, 0.000, 0.000, 4,4000,4000,4000,3000, 5.9809, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 5.9809, 5.8653, 50.7252, 50.7064, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:36:224, 120, 71, 1, 0, 8, 0, 1, -29.2610,0.0000,100.0000, 0.000, 0.000, 0.000, 4,4000,4000,4000,3000, 5.2716, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 5.2716, 5.1310, 50.7236, 50.7064, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:36:344, 120, 72, 1, 0, 8, 0, 1, -30.0000,-3.3690,100.0000, 0.000, 0.000, 0.000, 1,4000,4000,4000,1417, 5.0544, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 5.0544, 4.9013, 50.7236, 50.7080, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
11:24:36:464, 120, 72, 1, 0, 8, 0, 1, -30.0000,-3.3690,100.0000, 0.000, 0.000, 0.000, 1,4000,4000,4000,1417, 4.7575, 9.0000, 9.0000,155, 100, 100,0, 0, 1, 1, 4.7575, 4.6013, 50.7221, 50.7096, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
