MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
14:43:15: 91, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,99.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2047, 0.1984, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:151, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,99.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2062, 0.1984, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:271, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1984, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:391, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1984, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:511, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1969, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:631, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:751, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7299, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:871, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:15:991, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:111, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7299, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:231, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7299, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:351, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2094, 0.1937, 50.7283, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:471, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7299, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:591, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2094, 0.1937, 50.7299, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:711, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2109, 0.1937, 50.7299, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:831, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2109, 0.1953, 50.7299, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:16:951, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2109, 0.1953, 50.7314, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:17: 71, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2125, 0.1953, 50.7314, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:17:191, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2125, 0.1953, 50.7314, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:17:311, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2125, 0.1937, 50.7314, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:43:17:431, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2047, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2125, 0.1937, 50.7330, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
